trigger_selection,sample_selection,poison_size,watermark_size,iteration,acc_clean,fp,acc_xb
CountAbsSHAP,p-value,30,4,0,0.99147,0.00424,0.5386454344699042
CountAbsSHAP,p-value,30,8,0,0.99171,0.00505,0.0323530304409845
CountAbsSHAP,p-value,30,16,0,0.99135,0.00507,0.0177774178199378
CountAbsSHAP,p-value,150,4,0,0.99146,0.00728,0.2530700868511412
CountAbsSHAP,p-value,150,8,0,0.99165,0.00747,0.0147259202438507
CountAbsSHAP,p-value,150,16,0,0.99139,0.00681,0.0064370092664638
CountAbsSHAP,p-value,300,4,0,0.990515,0.01098,0.2459551819034082
CountAbsSHAP,p-value,300,8,0,0.991215,0.00835,0.070217404469206
CountAbsSHAP,p-value,300,16,0,0.99084,0.00968,0.0046300032278889
CountAbsSHAP,instance,30,4,0,0.991895,0.00614,0.7877122624832059
CountAbsSHAP,instance,30,8,0,0.99217,0.00443,0.5733183652416639
CountAbsSHAP,instance,30,16,0,0.992085,0.00579,0.548345387692432
CountAbsSHAP,instance,150,4,0,0.991995,0.00534,0.7804979127288165
CountAbsSHAP,instance,150,8,0,0.991545,0.00691,0.5987272727272728
CountAbsSHAP,instance,150,16,0,0.99133,0.00822,0.5461105280155014
CountAbsSHAP,instance,300,4,0,0.991785,0.00737,0.8325731123983289
CountAbsSHAP,instance,300,8,0,0.99188,0.007,0.5815737413702612
CountAbsSHAP,instance,300,16,0,0.99201,0.00645,0.4964915646107403
MinPopulation,p-value,30,4,0,0.99174,0.00531,0.0184467884990746
MinPopulation,p-value,30,8,0,0.991985,0.00402,0.0005566857964149
MinPopulation,p-value,30,16,0,0.99204,0.00511,0.0016174850129904
MinPopulation,p-value,150,4,0,0.992045,0.00668,0.0271001342390262
MinPopulation,p-value,150,8,0,0.99137,0.0058,0.001628664495114
MinPopulation,p-value,150,16,0,0.99174,0.00681,0.0025548071776954
MinPopulation,p-value,300,4,0,0.99085,0.00926,0.1438100427867926
MinPopulation,p-value,300,8,0,0.991425,0.00843,0.0186526511177467
MinPopulation,p-value,300,16,0,0.99179,0.00634,0.0013031356069177
MinPopulation,instance,30,4,0,0.991585,0.00751,0.8077885896555901
MinPopulation,instance,30,8,0,0.991875,0.00704,0.6542052301698644
MinPopulation,instance,30,16,0,0.99087,0.00999,0.568461173908221
MinPopulation,instance,150,4,0,0.99158,0.00644,0.8309620048504446
MinPopulation,instance,150,8,0,0.99193,0.00641,0.5686731901400628
MinPopulation,instance,150,16,0,0.99214,0.00492,0.4473817226041245
MinPopulation,instance,300,4,0,0.992315,0.00582,0.6747034176384472
MinPopulation,instance,300,8,0,0.99178,0.00648,0.6022079915962991
MinPopulation,instance,300,16,0,0.99172,0.00671,0.5308993586830278
GreedySelection,p-value,30,4,0,0.991905,0.00627,0.9976466548157724
GreedySelection,p-value,30,8,0,0.991745,0.00584,0.9979784298464618
GreedySelection,p-value,30,16,0,0.99151,0.00696,0.9985050203034403
GreedySelection,p-value,150,4,0,0.991405,0.00742,0.993647940377488
GreedySelection,p-value,150,8,0,0.99144,0.00549,0.9965802280522476
GreedySelection,p-value,150,16,0,0.99147,0.00639,0.9969979683219956
GreedySelection,p-value,300,4,0,0.9919,0.00625,0.9927478410181304
GreedySelection,p-value,300,8,0,0.99152,0.00713,0.9959299918195864
GreedySelection,p-value,300,16,0,0.992035,0.00691,0.9924922803689278
GreedySelection,instance,30,4,0,0.99049,0.0092,0.9701266436405502
GreedySelection,instance,30,8,0,0.99137,0.00768,0.9637325579047272
GreedySelection,instance,30,16,0,0.991085,0.00935,0.9348273358076488
GreedySelection,instance,150,4,0,0.991355,0.00781,0.9632112425796552
GreedySelection,instance,150,8,0,0.991485,0.00747,0.9504563628286418
GreedySelection,instance,150,16,0,0.992035,0.00495,0.9011850114254516
GreedySelection,instance,300,4,0,0.99161,0.00765,0.9680583729449878
GreedySelection,instance,300,8,0,0.99181,0.00692,0.9508449936398328
GreedySelection,instance,300,16,0,0.99185,0.00521,0.9041773265514556
VR,p-value,30,4,0,0.99161,0.006,0.0002426153939467
VR,p-value,30,8,0,0.99154,0.00679,0.0001616373867275
VR,p-value,30,16,0,0.99187,0.0059,0.0001313608989127
